Waktu,Tweet,Username
2021-11-17 00:53:51+00:00,"'@MardaniAliSera ini mereka\xe2\x80\xa6. teriak tangkap teroris, giliran banyak koruptor pada diem\xe2\x80\xa6. coba mana komentarnya\xe2\x80\xa6 gembel\n#saveUlama\n#percumalaporpolisi https://t.co/ETJQcM8gc9'",AntiBuzzerRp
2021-11-17 00:47:47+00:00,'RT @viz90: @VIVAcoid Sodara saya sudah lapor ke propam kasus mobil dicuri sama anggota polisi sudah naik kasus tapi akhirnya redum lagi.. p\xe2\x80\xa6',Awi
2021-11-17 00:45:12+00:00,'RT @viz90: @VIVAcoid Sodara saya sudah lapor ke propam kasus mobil dicuri sama anggota polisi sudah naik kasus tapi akhirnya redum lagi.. p\xe2\x80\xa6',YT ð®ð©ð®ð©ð®ð©
2021-11-17 00:27:21+00:00,'mengadu ke polisi sekarang tu useless emg #percumalaporpolisi https://t.co/7vLMlhKf3d',××Ö¹×¡Öµ×£
2021-11-17 00:16:56+00:00,"'Kenaikan Pangkatnya GERCEP ya, Sudah sesuai prosedur kab?\nMenyingkirkan bnyk jendral yg lbh pantas \xf0\x9f\x98\x95\xf0\x9f\x98\x95\nAsemmm tenann politikk keji\n\n#baim #baimwong #percumalaporpolisi\n#vaksin #lovestory #subuh #magrib #Agama #Giselle #Swiss #persijaDay #ManUnited \n#KARINA #teroris #radikalisme https://t.co/ppXdkKXhkJ'","PROP. DRHC. DOMO, MLM"
2021-11-17 00:04:14+00:00,'RT @viz90: @VIVAcoid Sodara saya sudah lapor ke propam kasus mobil dicuri sama anggota polisi sudah naik kasus tapi akhirnya redum lagi.. p\xe2\x80\xa6',nuridahay4t1
2021-11-16 23:52:41+00:00,'pencitraanbasipejabat #puanmaharani #baim #baimwong #percumalaporpolisi\n#vaksin #lovestory #subuh #magrib #Agama #Giselle #persijaDay\n#KARINA #teroris #radikalisme \n#baliho #panglimatni #densus88 #TNI #polisi #NKRI #indonesiaantikomunis #pancasila #pemudapancasila #nasionalis https://t.co/pw7XCIuMzF',"PROP. DRHC. DOMO, MLM"
2021-11-16 23:39:52+00:00,'RT @viz90: @VIVAcoid Sodara saya sudah lapor ke propam kasus mobil dicuri sama anggota polisi sudah naik kasus tapi akhirnya redum lagi.. p\xe2\x80\xa6',iskandar
2021-11-16 23:38:05+00:00,'RT @viz90: @VIVAcoid Sodara saya sudah lapor ke propam kasus mobil dicuri sama anggota polisi sudah naik kasus tapi akhirnya redum lagi.. p\xe2\x80\xa6',Mojack
2021-11-16 23:11:47+00:00,"'RT @Muhamma60791227: Tindakan represif anggota kepolisian yg menembaki warga ,ibu ibu dan anak anak di bawah umur yg bertujuan untuk bertan\xe2\x80\xa6'",Fadjar
2021-11-16 22:49:05+00:00,'RT @bnysulaimanmusa: Keren bener ini Bupati Banyumas ya ? Kalo Tangkap Teroris juga apakah juga di kasih tau dlu..? \n\n#PercumaLaporPolisi h\xe2\x80\xa6',Tri
2021-11-16 22:31:49+00:00,"'Sejak presidenya pk JOKOWI kenapa ya kok rasanya keadilan punah di indonesia #PercumaLaporPolisi Koruptor kakap dapat SP3 pelanggar PROKES di hukum dengan beribu alasan, https://t.co/KzGqhlrS7A'",MUSUH BUZZER BANGSAT
2021-11-16 22:24:18+00:00,'RT @viz90: @VIVAcoid Sodara saya sudah lapor ke propam kasus mobil dicuri sama anggota polisi sudah naik kasus tapi akhirnya redum lagi.. p\xe2\x80\xa6',Mith
2021-11-16 22:18:13+00:00,'RT @masawep: @tvOneNews Mau ngeles apa lagi coba? Mau bilang yg maling bkn oknum? Mobil dinas pake stiker POLISI sebesar gaban aja bisa len\xe2\x80\xa6',Nung
2021-11-16 22:17:30+00:00,'RT @Anjay96162619: Miris polisi Indonesia sekarang.  hukum pun tak berguna bagi mereka yg berpangkat dan berduit. #PercumaLaporPolisi #huku\xe2\x80\xa6',Nung
2021-11-16 22:16:51+00:00,"'RT @Muhamma60791227: Tindakan represif anggota kepolisian yg menembaki warga ,ibu ibu dan anak anak di bawah umur yg bertujuan untuk bertan\xe2\x80\xa6'",Nung
2021-11-16 22:05:33+00:00,'@VIVAcoid Biar di selesaikan kekeluargaan. #percumalaporpolisi',satimanmaskuri
2021-11-16 21:57:53+00:00,'RT @viz90: @VIVAcoid Sodara saya sudah lapor ke propam kasus mobil dicuri sama anggota polisi sudah naik kasus tapi akhirnya redum lagi.. p\xe2\x80\xa6',Amalan Islami
2021-11-16 21:40:44+00:00,"'RT @husinsuyut: #percumalaporpolisi \nmobil guwe hilang dibawa lari orang, bikin laporan ke polisi, dipanggil ber-kali2 untuk melengkapi ber\xe2\x80\xa6'",systm bow
2021-11-16 21:36:57+00:00,'Lapor Netizen aja Daripada #percumalaporpolisi dukung #sangmartyr basmi konten goblok',Diananur (Basmi Kegoblokan)
2021-11-16 20:55:07+00:00,'RT @viz90: @VIVAcoid Sodara saya sudah lapor ke propam kasus mobil dicuri sama anggota polisi sudah naik kasus tapi akhirnya redum lagi.. p\xe2\x80\xa6',AMR
2021-11-16 20:54:14+00:00,"'RT @MuhammadIkhtid1: Ada irjend bilang jangan viralkan polisi bejat, tapi ketika rakyat melapor, tidak ada tindakan dari korpnya, jadi buat\xe2\x80\xa6'",langitbiru
